date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
05:40:53	13818/13818	---MC-	200	added ('OK')	application/json	date:Sun,%2004%20Jun%202023%2000:40:53%20GMT	https://www.mapleparking.co.uk/wp-json/wp/v2/pages/53	F:/Temp/qwe/www.mapleparking.co.uk/wp-json/wp/v2/pages/53.json	(from https://www.mapleparking.co.uk/how-it-works/)
05:40:54	2857/2857	---MC-	200	added ('OK')	application/json	date:Sun,%2004%20Jun%202023%2000:40:54%20GMT	https://www.mapleparking.co.uk/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.mapleparking.co.uk%2Fhow-it-works%2F	F:/Temp/qwe/www.mapleparking.co.uk/wp-json/oembed/1.0/embede43e.json	(from https://www.mapleparking.co.uk/how-it-works/)
05:40:54	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2004%20Jun%202023%2000:40:54%20GMT	https://www.mapleparking.co.uk/?p=53	F:/Temp/qwe/www.mapleparking.co.uk/index5fb3.html	(from https://www.mapleparking.co.uk/how-it-works/)
05:40:56	2944/2944	---MC-	200	added ('OK')	text/xml	date:Sun,%2004%20Jun%202023%2000:40:55%20GMT	https://www.mapleparking.co.uk/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.mapleparking.co.uk%2Fhow-it-works%2F&format=xml	F:/Temp/qwe/www.mapleparking.co.uk/wp-json/oembed/1.0/embed92df	(from https://www.mapleparking.co.uk/how-it-works/)
05:40:57	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2004%20Jun%202023%2000:40:56%20GMT	https://www.mapleparking.co.uk/airport/airport-airport-stansted	F:/Temp/qwe/www.mapleparking.co.uk/airport/airport-airport-stansted	(from https://www.mapleparking.co.uk/how-it-works/)
05:40:57	66797/66797	---M--	200	added ('OK')	image/jpeg	etag:%2258bfcf7e-104ed%22	https://www.mapleparking.co.uk/wp-content/uploads/2017/01/greet-explained.jpg	F:/Temp/qwe/www.mapleparking.co.uk/wp-content/uploads/2017/01/greet-explained.jpg	(from https://www.mapleparking.co.uk/how-it-works/)
05:40:57	9751/9751	---M--	200	added ('OK')	image/png	etag:%225a620211-2617%22	https://www.mapleparking.co.uk/wp-content/uploads/2018/01/how-why-maple.png	F:/Temp/qwe/www.mapleparking.co.uk/wp-content/uploads/2018/01/how-why-maple.png	(from https://www.mapleparking.co.uk/how-it-works/)
05:40:59	56324/56324	---MC-	200	added ('OK')	text/html	date:Sun,%2004%20Jun%202023%2000:40:58%20GMT	https://www.mapleparking.co.uk/meet-and-greet-parking-at-edinburgh/	F:/Temp/qwe/www.mapleparking.co.uk/meet-and-greet-parking-at-edinburgh/index.html	(from https://www.mapleparking.co.uk/how-it-works/)
05:40:59	54090/54090	---MC-	200	added ('OK')	text/html	date:Sun,%2004%20Jun%202023%2000:40:59%20GMT	https://www.mapleparking.co.uk/park-and-ride-to-gatwick-airport/	F:/Temp/qwe/www.mapleparking.co.uk/park-and-ride-to-gatwick-airport/index.html	(from https://www.mapleparking.co.uk/how-it-works/)
05:41:00	55058/55058	---MC-	200	added ('OK')	text/html	date:Sun,%2004%20Jun%202023%2000:41:00%20GMT	https://www.mapleparking.co.uk/airport-parking/	F:/Temp/qwe/www.mapleparking.co.uk/airport-parking/index.html	(from https://www.mapleparking.co.uk/how-it-works/)
05:41:01	30858/30858	---MC-	200	added ('OK')	application/json	date:Sun,%2004%20Jun%202023%2000:41:00%20GMT	https://www.mapleparking.co.uk/wp-json/wp/v2/pages/503	F:/Temp/qwe/www.mapleparking.co.uk/wp-json/wp/v2/pages/503.json	(from https://www.mapleparking.co.uk/business-travellers/)
05:41:02	2780/2780	---MC-	200	added ('OK')	application/json	date:Sun,%2004%20Jun%202023%2000:41:02%20GMT	https://www.mapleparking.co.uk/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.mapleparking.co.uk%2Fbusiness-travellers%2F	F:/Temp/qwe/www.mapleparking.co.uk/wp-json/oembed/1.0/embedf5dc.json	(from https://www.mapleparking.co.uk/business-travellers/)
05:41:02	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2004%20Jun%202023%2000:41:02%20GMT	https://www.mapleparking.co.uk/?p=503	F:/Temp/qwe/www.mapleparking.co.uk/index6c15.html	(from https://www.mapleparking.co.uk/business-travellers/)
05:41:03	2859/2859	---MC-	200	added ('OK')	text/xml	date:Sun,%2004%20Jun%202023%2000:41:03%20GMT	https://www.mapleparking.co.uk/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.mapleparking.co.uk%2Fbusiness-travellers%2F&format=xml	F:/Temp/qwe/www.mapleparking.co.uk/wp-json/oembed/1.0/embed9a5d	(from https://www.mapleparking.co.uk/business-travellers/)
05:41:03	59016/59016	---M--	200	added ('OK')	text/css	etag:%22611e167b-e688%22	https://www.mapleparking.co.uk/wp-includes/css/dashicons.min.css?ver=6.2.2	F:/Temp/qwe/www.mapleparking.co.uk/wp-includes/css/dashicons.min3781.css	(from https://www.mapleparking.co.uk/business-travellers/)
05:41:03	16927/16927	---M--	200	added ('OK')	text/css	etag:%2261932eb2-421f%22	https://www.mapleparking.co.uk/wp-content/plugins/ninja-forms/assets/css/display-structure.css?ver=6.2.2	F:/Temp/qwe/www.mapleparking.co.uk/wp-content/plugins/ninja-forms/assets/css/display-structure3781.css	(from https://www.mapleparking.co.uk/business-travellers/)
05:41:03	18833/18833	---M--	200	added ('OK')	text/javascript	etag:%226361ede3-4991%22	https://www.mapleparking.co.uk/wp-includes/js/underscore.min.js?ver=1.13.4	F:/Temp/qwe/www.mapleparking.co.uk/wp-includes/js/underscore.mind584.js	(from https://www.mapleparking.co.uk/business-travellers/)
